job_id,job_title,min_salary,max_salary
1,PublicAccountant,4200.00,9000.00
2,AccountingManager,8200.00,16000.00
3,AdministrationAssistant,3000.00,6000.00
4,President,20000.00,40000.00
5,AdministrationVicePresident,15000.00,30000.00
6,Accountant,4200.00,9000.00
7,FinanceManager,8200.00,16000.00
8,HumanResourcesRepresentative,4000.00,9000.00
9,Programmer,4000.00,10000.00
10,MarketingManager,9000.00,15000.00
11,MarketingRepresentative,4000.00,9000.00
12,PublicRelationsRepresentative,4500.00,10500.00
13,PurchasingClerk,2500.00,5500.00
14,PurchasingManager,8000.00,15000.00
15,SalesManager,10000.00,20000.00
16,SalesRepresentative,6000.00,12000.00
17,ShippingClerk,2500.00,5500.00
18,StockClerk,2000.00,5000.00
19,StockManager,5500.00,8500.00
